Character,Road,Terrain,Water,Unknown,Accel/MT,Weight,Handling
ベビィピーチ,0,0,0,0,7,0,6
ベビィデイジー,0,0,0,0,7,0,6
バサバサ,0,0,0,0,7,0,6
パタテンテン,0,0,0,0,7,0,6
ベビィマリオ,1,0,0,0,6,1,6
クリボー,1,0,0,0,6,1,6
ガボン,1,0,0,0,6,1,6
ベビィルイージ,0,1,0,0,6,1,6
カロン,0,1,0,0,6,1,6
プー,0,1,0,0,6,1,6
ベビィロゼッタ,0,0,1,0,6,1,6
カニ,0,0,1,0,6,1,6
フィッシュボーン,0,0,1,0,6,1,6
キノピコ,2,1,1,1,5,2,5
トッテン,2,1,1,1,5,2,5
キノピオ,1,2,1,1,5,2,5
ヘイホー,1,2,1,1,5,2,5
ハッチン,1,2,1,1,5,2,5
ノコノコ,1,1,2,1,5,2,5
ジュゲム,1,1,2,1,5,2,5
プクプク,1,1,2,1,5,2,5
ピーチ,3,2,2,2,4,3,4
デイジー,3,2,2,2,4,3,4
ガマネー,3,2,2,2,4,3,4
ヨッシー,2,3,2,2,4,3,4
チョロプー,2,3,2,2,4,3,4
クッパJr.,2,2,3,2,4,3,4
イルカ,2,2,3,2,4,3,4
マリオ,4,3,3,3,3,4,3
チョロプー,4,3,3,3,3,4,3
ルイージ,3,4,3,3,3,4,3
ハンマーブロス,3,4,3,3,3,4,3
サンボ,3,4,3,3,3,4,3
キャサリン,3,3,4,3,3,4,3
ペンギン,3,3,4,3,3,4,3
ポリーン,5,4,4,4,2,5,2
ゆきだるま,5,4,4,4,2,5,2
パックンフラワー,5,4,4,4,2,5,2
キングテレサ,4,5,4,4,2,5,2
ツッコンドル,4,5,4,4,2,5,2
ロゼッタ,4,4,5,4,2,5,2
ポイハナ,4,4,5,4,2,5,2
ワリオ,6,5,5,5,1,6,1
ハナチャン,6,5,5,5,1,6,1
モーモー,5,6,5,5,1,6,1
ドンキーコング,5,6,5,5,1,6,1
ブル,5,6,5,5,1,6,1
ワルイージ,5,5,6,5,1,6,1
モンテ,5,5,6,5,1,6,1
クッパ,6,6,6,6,0,7,0
